Well,Fluor,Target,Content,Sample,Biological Set Name,BioRad Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
C05,HEX,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
C05,Texas Red,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
C06,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
C06,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
C06,HEX,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
C06,Texas Red,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
C07,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
C07,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
C07,HEX,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
C07,Texas Red,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
C08,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
C08,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
C08,HEX,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
C08,Texas Red,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
C09,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
C09,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
C09,HEX,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
C09,Texas Red,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
C10,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
C10,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
C10,HEX,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
C10,Texas Red,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
C11,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
C11,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
C11,HEX,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
C11,Texas Red,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
C12,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
C12,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
C12,HEX,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
C12,Texas Red,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
C13,Cy5,,Unkn,,,24.17888772,24.17888772,0,NaN,NaN,NaN,0,55,
C13,FAM,,Unkn,,,31.96271267,31.96271267,0,NaN,NaN,NaN,0,55,
C13,HEX,,Unkn,,,29.44341942,29.44341942,0,NaN,NaN,NaN,0,55,
C13,Texas Red,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
C14,Cy5,,Unkn,,,24.27593477,24.27593477,0,NaN,NaN,NaN,0,55,
C14,FAM,,Unkn,,,28.06896251,28.06896251,0,NaN,NaN,NaN,0,55,
C14,HEX,,Unkn,,,27.20776066,27.20776066,0,NaN,NaN,NaN,0,55,
C14,Texas Red,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
C15,Cy5,,Unkn,,,24.61350244,24.61350244,0,NaN,NaN,NaN,0,55,
C15,FAM,,Unkn,,,32.54940952,32.54940952,0,NaN,NaN,NaN,0,55,
C15,HEX,,Unkn,,,29.11863741,29.11863741,0,NaN,NaN,NaN,0,55,
C15,Texas Red,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
C16,Cy5,,Unkn,,,25.11883636,25.11883636,0,NaN,NaN,NaN,0,55,
C16,FAM,,Unkn,,,28.71037907,28.71037907,0,NaN,NaN,NaN,0,55,
C16,HEX,,Unkn,,,26.99234546,26.99234546,0,NaN,NaN,NaN,0,55,
C16,Texas Red,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
C17,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
C17,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
C17,HEX,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
C17,Texas Red,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
C18,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
C18,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
C18,HEX,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
C18,Texas Red,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
C19,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
C19,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
C19,HEX,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
C19,Texas Red,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
C20,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
C20,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
C20,HEX,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
C20,Texas Red,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
C21,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
C21,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
C21,HEX,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
C21,Texas Red,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
C22,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
C22,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
C22,HEX,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
C22,Texas Red,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
C23,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
C23,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
C23,HEX,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
C23,Texas Red,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
C24,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
C24,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
C24,HEX,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
C24,Texas Red,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
D01,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
D01,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
D01,HEX,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
D01,Texas Red,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
D02,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
D02,FAM,,Unkn,,,36.06705123,36.06705123,0,NaN,NaN,NaN,0,55,
D02,HEX,,Unkn,,,33.61844313,33.61844313,0,NaN,NaN,NaN,0,55,
D02,Texas Red,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
D03,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
D03,FAM,,Unkn,,,33.14147314,33.14147314,0,NaN,NaN,NaN,0,55,
D03,HEX,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
D03,Texas Red,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
D04,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
D04,FAM,,Unkn,,,35.03397974,35.03397974,0,NaN,NaN,NaN,0,55,
D04,HEX,,Unkn,,,34.78758537,34.78758537,0,NaN,NaN,NaN,0,55,
D04,Texas Red,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
D05,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
D05,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
D05,HEX,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
D05,Texas Red,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
D06,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
D06,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
D06,HEX,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
D06,Texas Red,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
D07,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
D07,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
D07,HEX,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
D07,Texas Red,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
D08,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
D08,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
D08,HEX,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
D08,Texas Red,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
D09,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
D09,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
D09,HEX,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
D09,Texas Red,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
D10,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
D10,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
D10,HEX,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
D10,Texas Red,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
D11,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
D11,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
D11,HEX,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
D11,Texas Red,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
D12,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
D12,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
D12,HEX,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
D12,Texas Red,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
D13,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
D13,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
D13,HEX,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
